circuit_name,description
hsa05200_CTBP1-CTBP2-HDAC1-HDAC2_backward,
hsa05200_RARB-RXRA-RXRB-RXRG_backward,
hsa05200_CASP3_backward,
hsa05200_AR_backward,
hsa05200_CASP9_backward,
hsa05200_CDKN1B_backward,
hsa05200_BCL2L1_backward,
hsa05200_STK4_backward,
hsa05200_CCND1_backward,
hsa05200_MAPK8-MAPK9-MAPK10_backward,
hsa05200_RAC1-RAC2-RAC3-CDC42_backward,
hsa05200_TP53_backward,
hsa05200_ARNT-ARNT2_backward,
hsa05200_CREBBP-EP300_backward,
hsa05200_SMAD4_backward,
hsa05200_RXRA-RXRB-RXRG_backward,
hsa05200_LEF1-TCF7-TCF7L2-TCF7L1_backward,
hsa05200_E2F1-E2F2-E2F3_backward,
hsa05200_CCNA2-CCNA1_backward,
hsa05200_BMP2-BMP4_backward,
hsa05200_GLI1_backward,
hsa05200_HHIP_backward,
hsa05200_PTCH1-PTCH2_backward,
hsa05200_WNT16-WNT4-WNT1-WNT2-WNT3-WNT5A-WNT6-WNT7A-WNT7B-WNT8A-WNT8B-WNT10B-WNT11-WNT2B-WNT9A-WNT9B-WNT10A-WNT5B-WNT3A_backward,
hsa05200_KLK3_backward,
hsa05200_BIRC5_backward,
hsa05200_MYC_backward,
hsa05200_CCND1_backward,
hsa05200_PTGS2_backward,
hsa05200_NOS2_backward,
hsa05200_BCL2_backward,
hsa05200_BIRC2-BIRC3-XIAP-BIRC7_backward,
hsa05200_TRAF1-TRAF2-TRAF3-TRAF5-TRAF6-TRAF4_backward,
hsa05200_CCND1_backward,
hsa05200_BCL2L1_backward,
hsa05200_BCL2L1_backward,
hsa05200_VEGFD-PGF-VEGFA-VEGFB-VEGFC_backward,
hsa05200_PDGFB_backward,
hsa05200_VEGFD-PGF-VEGFA-VEGFB-VEGFC_backward,
hsa05200_TGFA_backward,
hsa05200_TGFB1-TGFB2-TGFB3_backward,
hsa05200_SLC2A1_backward,
hsa05200_CDK4_backward,
hsa05200_VEGFD-PGF-VEGFA-VEGFB-VEGFC_backward,
hsa05200_MMP1-MMP2-MMP9_backward,
hsa05200_CXCL8_backward,
hsa05200_CCND1_backward,
hsa05200_CSF2RA_backward,
hsa05200_CSF3R_backward,
hsa05200_CSF1R_backward,
hsa05200_IL6_backward,
hsa05200_E2F1-E2F2-E2F3_backward,
hsa05200_CSF3R_backward,
hsa05200_MYC_backward,
hsa05200_CSF1R_backward,
hsa05200_CCND1_backward,
hsa05200_MYC_backward,
hsa05200_PPARD_backward,
hsa05200_CDKN1A_backward,
hsa05200_FOXO1_backward,
hsa05200_LPAR6-AGTR1-LPAR1-F2R-LPAR3-LPAR4-LPAR5-F2RL3-LPAR2_backward,
hsa05200_PTGER1-PTGER2-PTGER3-PTGER4_backward,
hsa05200_PRKCA-PRKCB-PRKCG_backward,
hsa05200_CXCR4_backward,
hsa05200_ERBB2_backward,
hsa05200_HES1-HES5_backward,
hsa05200_HEY1-HEY2-HEYL_backward,
hsa05200_FLT4_backward,
hsa05200_HMOX1_backward,
hsa05200_NQO1_backward,
hsa05200_GSTO2-GSTA5-GSTT4-GSTA1-GSTA2-GSTA3-GSTA4-GSTM1-GSTM2-GSTM3-GSTM4-GSTM5-GSTP1-GSTT1-GSTT2-MGST1-MGST2-MGST3-GSTT2B-GSTO1_backward,
hsa05200_TXNRD2-TXNRD3-TXNRD1_backward,
hsa05200_GADD45G-GADD45A-GADD45B_backward,
hsa05200_BAX_backward,
hsa05200_BAK1_backward,
hsa05200_DDB2_backward,
hsa05200_POLK_backward,
hsa05200_ESR1-ESR2_backward,
hsa05200_RPS6KB1-RPS6KB2_backward,
hsa05200_MYC_backward,
hsa05200_ELK1_backward,
hsa05200_CASP3-CASP7_backward,
hsa05200_APAF1_backward,
hsa05200_PIM2-PIM1_backward,
hsa05200_STAT2-STAT4-STAT6_backward,
hsa05200_c-o-m-p-o-u-n-d_backward,
hsa05200_c-o-m-p-o-u-n-d_backward,
hsa05200_c-o-m-p-o-u-n-d_backward,
hsa05200_c-o-m-p-o-u-n-d_backward,
hsa04020_TRDN-ASPH-RYR1-RYR2-RYR3_backward,
hsa04020_ADCY1-ADCY3-ADCY8_backward,
hsa04020_PDE1A-PDE1C-PDE1B_backward,
hsa04020_NOS1-NOS2-NOS3_backward,
hsa04020_MYLK4-MYLK-MYLK2-MYLK3_backward,
hsa04020_MCU_backward,
hsa04020_TRDN_backward,
hsa04020_NFATC1-NFATC2-NFATC3-NFATC4_backward,
hsa04020_TFEB_backward,
hsa04020_c-o-m-p-o-u-n-d_backward,
hsa04020_c-o-m-p-o-u-n-d_backward,
