CL_name	Type	Site	Histology	Vinblastine	Cisplatin	Cytarabine	Docetaxel___1007	Docetaxel___1819	Gefitinib	Vorinostat	Nilotinib	Olaparib	Axitinib	Afatinib	Palbociclib	5-Fluorouracil	Dasatinib	Paclitaxel	Crizotinib	Rapamycin	Sorafenib	Irinotecan	Oxaliplatin___1089	Oxaliplatin___1806	Erlotinib	Gemcitabine	Bortezomib	Tamoxifen	Fulvestrant___1200	Fulvestrant___1816	Trametinib	Dabrafenib	Temozolomide	Ruxolitinib	Epirubicin	Cyclophosphamide	Lapatinib	Ibrutinib	Zoledronate	Carmustine	Topotecan	Teniposide	Mitoxantrone	Dactinomycin___1811	Dactinomycin___1911	Nelarabine	Vincristine	Venetoclax	Osimertinib	Vinorelbine
907317	solid	oesophagus	carcinoma	0.246392561540291	0.622812878756112	0.343398102940544	0.00313348258646695	NA	0.848221373378831	0.658774709077351	0.763435278184553	0.779403002376939	NA	0.941195623918959	0.967345027425791	0.162113405963663	0.88428917152215	0.0179849368741778	NA	0.723378457152061	0.344608312292327	0.659850787870151	0.631860231832184	NA	0.428595375940041	0.0950647089155964	0.0395262837714632	0.986466882024115	0.988144331235154	NA	0.909566422048333	0.917387222698818	0.861933361527284	NA	0.0425749965656826	0.626436321877692	0.478017787908563	NA	NA	NA	NA	NA	NA	NA	0.24147510277044	NA	NA	0.613115879418098	0.880690862635505	0.0272296562943045
907318	solid	oesophagus	carcinoma	0.245424521957909	0.411678090741562	0.252293301240211	0.00192656744644282	0.00217798475912223	0.923193461016985	0.848949589213065	0.924344714840599	0.80176224797268	NA	0.961711467409499	0.995804009808863	0.0522913897095727	0.437904557925115	0.00655722962072758	0.893435489282615	0.825076599048237	0.372914756980008	0.893932149608214	0.580656650286958	0.889005169780428	0.485287457882693	0.076286268899919	0.0375610040607142	0.994562080100316	0.994622438927494	0.996231074582838	0.98978378265878	0.950903637387756	0.893047607643101	0.974986367768558	0.0409825965926736	0.542128396335061	0.651668589020748	0.948346237941333	0.955459809445611	0.856022808836934	0.975944523258004	0.0773806235756096	0.498933005108468	0.514537782409611	0.11926770986394	0.900264098139199	0.741836450699942	0.730682294079338	0.919534063812575	0.0283128873816431
907319	solid	oesophagus	carcinoma	0.841858944881415	0.576648005392555	0.131937298599908	0.00639240483063641	0.029121230926929	0.850906394505102	0.790436596725136	0.95945294249078	0.736480659325381	NA	0.977400358615606	0.993749332540758	0.148790003867894	0.316051107156752	0.0179218587602236	0.915645404451675	0.887644021589608	0.368559925894377	0.599505942260791	0.703963339670824	0.928257948467495	0.552153575137066	0.00296047968346325	0.0402457111897262	0.991505408801267	0.994668632781826	0.996752107025659	0.981834337244159	0.902879906176863	0.901871724220117	0.974603579625108	0.0480742869883524	0.566744103324919	0.598212336679002	0.957861037851523	0.947567490493308	0.944735510879737	0.952848660285125	0.0744604251723261	0.81160277402934	0.624779350749901	0.610778865973001	0.843610658776427	0.996325780347257	0.76893965108075	0.863888835527973	0.242565206414621
907320	solid	oesophagus	carcinoma	0.447741910731921	0.71136691694625	0.326050893735791	0.0227837393147722	0.0381377435193138	0.564434204947716	0.808724950530573	0.940740923366422	0.828087796974239	NA	0.718294422891666	0.967865371772633	0.21854101384564	0.712485383805283	0.0618468204031621	0.900498920220824	0.864778814971912	0.440568664796419	0.725973474539663	0.66813856657551	0.801482402832823	0.331375113612329	0.321881182461162	0.101586440909436	0.967718672890839	0.987040551854396	0.987694827436811	0.944185444571768	0.930389471319944	0.888301524051678	0.950889251880312	0.146961958174709	0.641962341651734	0.394943812314383	0.918985566093886	0.936848814696494	0.90977196654516	0.947818572225203	0.332490480018722	0.791447500106547	0.629634667094911	0.354972563436118	0.86068007458398	0.853226640416256	0.689978648715182	0.701264034263359	0.213610108395762
907321	solid	oesophagus	carcinoma	NA	NA	NA	NA	0.0101925572991264	NA	NA	NA	NA	NA	0.905348924095291	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.775449454812999	NA	NA	NA	NA	NA	0.981657017537438	NA	NA	NA	NA	NA	NA	NA	0.978717526220348	0.93872223552239	0.898021978817613	0.737705299971609	0.0685002516538911	0.228537822558755	0.523245656315312	NA	0.903662014188334	0.686553748778029	NA	NA	NA
907322	lymphoma	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	0.085616263210687	0.153838459528649	0.00521440118431726	0.00108711961134067	0.00950333940467418	0.979465018487269	0.594938327506939	0.888695600640124	0.636166931106192	NA	0.990597827752858	0.996346717051195	0.154113324808341	0.98771967850832	0.0151057237813302	0.939618890095305	0.628070278903934	0.18649246059494	0.757949191857816	0.881552137846105	0.98420812984786	0.386905739115341	8.76222970154217e-05	0.011854088102467	0.992397304385988	0.997796657250117	0.999740020449436	0.99885289544014	0.939608395404767	0.874430704036778	0.992130296743381	0.00111066839736196	0.44262933522181	0.750687469608271	0.997941141211911	0.967904340976851	0.957290752350673	0.990372287356475	0.00209711776250998	0.177748613782577	0.818621510690188	0.275620147966894	0.944606591016278	0.857036901508253	0.582708695749248	0.987154838623961	0.0163796768828511
907323	lymphoma	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	0.115549174397705	0.0819834867537498	0.0251417666836828	0.00108612536458286	0.000723064612040192	0.988928568615778	0.657671980946099	0.95837804029124	0.659135440911588	NA	0.993152930692073	0.996365342648947	0.00365202307762635	0.973280054290159	0.00235762716679255	0.734690240383583	0.868027603162699	0.153655302109832	0.0866749237570471	0.785847792571004	0.869657711608433	0.888513832119834	2.72665320780741e-05	0.00604299345041281	0.997844695257194	0.998134385420601	0.996432096919695	0.99941339066504	0.591612425181974	0.359434448309409	0.963745147530388	0.00277700339101961	0.253009716240773	0.718022667966557	0.995424784463687	0.968978186841473	0.906079948400642	0.849122066535956	0.00195407544950299	0.0554226645575965	0.481674098408145	0.138800867937926	0.933076866969673	0.424527184229989	0.251044621137642	0.935088917009935	0.0176567600636994
907783	leukemia	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	0.0850041641229811	0.232213970624616	0.000223171657581234	0.000163471190719688	0.000258213343919067	0.991656717125263	0.575077114682017	0.00084340961940288	0.794241731669875	NA	0.984265263916534	0.952771128565044	0.0354592099510472	0.000360541786827873	0.00116986595583257	0.384289470034056	0.685917818473173	0.0945742987124333	0.221794573976016	0.633115766283108	0.759181261586182	0.564607932121202	1.19729064329555e-05	0.00399840206635971	0.997354311591217	0.993109635475306	0.998981817224609	0.345359100398455	0.176874296570115	0.511814256977582	0.969228443015966	0.00616753789839697	0.285246538969746	0.767544351765103	0.937428279287729	0.956780282013604	0.849928598696102	0.989395201935684	0.00259646379314127	0.238324078296818	0.420603457652576	0.0504674797605079	0.900392691665143	0.837154308434636	0.596799952278899	0.989989574016938	0.00674750740091556
907787	leukemia	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	0.100146251362118	0.0493734348130611	0.000491253217592136	0.000298152440976529	0.00173098483309864	0.988073186513794	0.450395073561632	0.60792629685752	0.471594174619159	NA	0.997598059106715	0.904188985406442	0.0196092215937974	0.936781903392248	0.00109468767531495	0.935565443220117	0.923258978169853	0.194487939290113	0.125962061625965	0.342364703146815	0.658813785816758	0.659569861232095	0.000101395128178083	0.00647680985046772	0.979978711040806	0.994687206434747	0.999287284128535	0.992205986891161	0.552056772995015	0.534843108903089	0.993880278172171	0.00164733439035514	0.35025247977801	0.316238118012928	0.998193141905732	0.876270624471541	0.813690919374881	0.895465987875213	0.00267255245533637	0.123488256188723	0.504251754600385	0.0139931461983719	0.759472091865631	0.731623753617176	0.00012611350934344	0.961433792446016	0.00765282582989324
907788	solid	prostate	carcinoma	0.420643198875314	0.681855432602638	0.100547337309091	0.0124024242698861	0.0630828703658987	0.963220866682797	0.539911207166352	0.746240961480755	0.597795334247868	NA	0.953174890689281	0.865429470964307	0.169042897059243	0.856808694638995	0.0359182381048551	0.78779073376504	0.262779364117741	0.286197515511792	0.461087329960694	0.500668293372211	0.639991343068862	0.861983095795003	0.0583295743694408	0.0882161705388943	0.950013803263603	0.956911102364048	0.960671672874251	0.986451966099353	0.845421768584289	0.54549167609796	0.955471688504739	0.0288463695447808	0.518147172749446	0.625134542667079	0.987455483270591	0.930053019979537	0.805575446971753	0.84916241362227	0.0962594714592058	0.196282492151814	0.378730896412646	0.114844496809474	0.886604751941499	0.76326797344669	0.610494676367686	0.83044160463794	0.0974085169804662
